DistDisc,crashProb,runtime(ns)
0.5,0.1593753561914322,3.72654876533E11
1.0,0.19693736577355314,4.1314773066E10
1.1,0.23122031470900245,3.2142338666E10
1.2,0.22897485485392466,2.06476727E10
1.3,0.3241553426064036,1.4597187033E10
1.4,0.3645096057557416,1.2518189766E10
1.5,0.211704701877079,1.3343529233E10
1.6,0.29427195292525155,1.2061229066E10
1.65,1.0,5.7561853E9
1.7,0.32351735953952815,6.820778933E9
1.75,0.34066546416816873,1.30138314E10
1.8,0.31057565379164864,1.3387808666E10
1.9,1.0,7.521122066E9
2.0,1.0,6.459246633E9
