DistDisc,crashProb,runtime(ns)
0.25,0.0029976758523018645,4.341421833E9
0.3,0.007493297387692189,4.035917733E9
0.4,0.018424769689380605,4.1778705E9
0.5,0.028583173750463754,2.335152233E9
0.6,0.024881824001298302,1.476764333E9
0.7,0.03994734991954599,1.194093233E9
0.8,0.04091242208249885,1.1810163E9
0.9,1.0,4.087068E8
1,0.06824926056935215,2.1075348E9
1.1,1.0,4.23027433E8
1.2,0.13333115910983262,1.665267E9
1.3,1.0,2.97261033E8
1.4,1.0,2.65581833E8
1.5,1.0,2.711281E8
1.6,1.0,2.51616933E8
1.7,1.0,2.14524033E8
1.8,1.0,1.918143E8
1.9,1.0,2.09316166E8
2,1.0,1.71737166E8
