DistDisc,crashProb,runtime(ns)
0.25,0.18259466645646272,5.5914855866E10
0.3,0.19474488143392849,4.5041363433E10
0.4,0.2071409208371825,2.9967649933E10
0.5,0.23595803231902998,2.2880317066E10
0.6,0.2909559552318536,2.4617802633E10
0.7,0.2836743958031812,2.26213201E10
0.8,0.32491923290042757,1.4844644033E10
0.9,1.0,2.411779233E9
1,0.419846173114475,1.33164016E10
1.1,1.0,1.528310933E9
1.2,0.8082598131520543,1.29567477E10
1.3,1.0,1.323670533E9
1.4,1.0,1.1894324E9
1.5,1.0,1.168239533E9
1.6,1.0,1.0875147E9
1.7,1.0,1.073749033E9
1.8,1.0,1.0571027E9
1.9,1.0,1.0894802E9
2,1.0,1.556906666E9
