DistDisc,crashProb,runtime(ns)
0.25,0.038555108010013474,1.1897430266E10
0.3,0.09714347114614946,1.1887865866E10
0.4,0.24468928673188733,8.914966733E9
0.5,0.3881201410777004,6.398755233E9
0.6,0.38814877861616703,3.369241266E9
0.7,0.6249139629000591,2.7084009E9
0.8,0.6268454613611822,3.040815866E9
0.9,1.0,1.127827533E9
1,1.0,1.296472E9
1.1,1.0,8.70946766E8
1.2,1.0,9.35875966E8
1.3,1.0,5.55328066E8
1.4,1.0,5.170624E8
1.5,1.0,5.492292E8
1.6,1.0,5.21535766E8
1.7,1.0,3.76076533E8
1.8,1.0,3.42293E8
1.9,1.0,5.39651733E8
2,1.0,4.950657E8
