(1 - p)^10,0,0,0
8*(1 - p)^9*p,(1 - p)^9*p,(1 - p)^9*p,0
28*(1 - p)^8*p^2,8*(1 - p)^8*p^2,8*(1 - p)^8*p^2,(1 - p)^8*p^2
56*(1 - p)^7*p^3,28*(1 - p)^7*p^3,28*(1 - p)^7*p^3,8*(1 - p)^7*p^3
70*(1 - p)^6*p^4,56*(1 - p)^6*p^4,56*(1 - p)^6*p^4,28*(1 - p)^6*p^4
56*(1 - p)^5*p^5,70*(1 - p)^5*p^5,70*(1 - p)^5*p^5,56*(1 - p)^5*p^5
28*(1 - p)^4*p^6,56*(1 - p)^4*p^6,56*(1 - p)^4*p^6,70*(1 - p)^4*p^6
8*(1 - p)^3*p^7,28*(1 - p)^3*p^7,28*(1 - p)^3*p^7,56*(1 - p)^3*p^7
(1 - p)^2*p^8,8*(1 - p)^2*p^8,8*(1 - p)^2*p^8,28*(1 - p)^2*p^8
0,(1 - p)*p^9,(1 - p)*p^9,8*(1 - p)*p^9
0,0,0,p^10
