(1 - p)^9,0,0,0,0,0,0,0
6*(1 - p)^8*p,(1 - p)^8*p,(1 - p)^8*p,0,(1 - p)^8*p,0,0,0
15*(1 - p)^7*p^2,6*(1 - p)^7*p^2,6*(1 - p)^7*p^2,(1 - p)^7*p^2,6*(1 - p)^7*p^2,(1 - p)^7*p^2,(1 - p)^7*p^2,0
20*(1 - p)^6*p^3,15*(1 - p)^6*p^3,15*(1 - p)^6*p^3,6*(1 - p)^6*p^3,15*(1 - p)^6*p^3,6*(1 - p)^6*p^3,6*(1 - p)^6*p^3,(1 - p)^6*p^3
15*(1 - p)^5*p^4,20*(1 - p)^5*p^4,20*(1 - p)^5*p^4,15*(1 - p)^5*p^4,20*(1 - p)^5*p^4,15*(1 - p)^5*p^4,15*(1 - p)^5*p^4,6*(1 - p)^5*p^4
6*(1 - p)^4*p^5,15*(1 - p)^4*p^5,15*(1 - p)^4*p^5,20*(1 - p)^4*p^5,15*(1 - p)^4*p^5,20*(1 - p)^4*p^5,20*(1 - p)^4*p^5,15*(1 - p)^4*p^5
(1 - p)^3*p^6,6*(1 - p)^3*p^6,6*(1 - p)^3*p^6,15*(1 - p)^3*p^6,6*(1 - p)^3*p^6,15*(1 - p)^3*p^6,15*(1 - p)^3*p^6,20*(1 - p)^3*p^6
0,(1 - p)^2*p^7,(1 - p)^2*p^7,6*(1 - p)^2*p^7,(1 - p)^2*p^7,6*(1 - p)^2*p^7,6*(1 - p)^2*p^7,15*(1 - p)^2*p^7
0,0,0,(1 - p)*p^8,0,(1 - p)*p^8,(1 - p)*p^8,6*(1 - p)*p^8
0,0,0,0,0,0,0,p^9
