DistDisc,crashProb,runtime(ns)
0.25,0.18194345797839254,5.9467210166E10
0.3,0.2543885255170689,4.69424158E10
0.4,0.36336737772467453,3.94844652E10
0.5,0.4945914013484535,3.1333785366E10
0.6,0.5396004093460466,2.6872299133E10
0.7,0.7067535821361638,2.3312606833E10
0.8,0.7300165291239851,1.8605745433E10
0.9,1.0,4.0338377E9
1,1.0,3.9372185E9
1.1,1.0,3.078335266E9
1.2,1.0,3.3077903E9
1.3,1.0,2.147815166E9
1.4,1.0,2.178617666E9
1.5,1.0,2.1576482E9
1.6,1.0,2.37026E9
1.7,1.0,1.8862452E9
1.8,1.0,1.929586E9
1.9,1.0,1.8102552E9
2,1.0,1.740310833E9
