DistDisc,crashProb,runtime(ns)
0.25,0.23812526887772678,1.39835876166E11
0.3,0.3424571970401614,1.26707786933E11
0.4,0.5134121731014044,1.03986024066E11
0.5,0.7091074515840501,9.5506996733E10
0.6,0.7400144045574748,6.1711160166E10
0.7,1.0,1.5449210333E10
0.8,1.0,1.1198550033E10
0.9,1.0,7.541879366E9
1,1.0,8.722083366E9
1.1,1.0,6.7888333E9
1.2,1.0,6.5426023E9
1.3,1.0,4.532805566E9
1.4,1.0,3.134579666E9
1.5,1.0,3.596200166E9
1.6,1.0,3.539399966E9
1.7,1.0,3.014935233E9
1.8,1.0,2.8232699E9
1.9,1.0,2.7236035E9
2,1.0,3.2359785E9
